track_id	assay	group	mode	url	filename
H3K4me1__imputed__Kidney	H3K4me1	Kidney	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Kidney.bigWig	average_H3K4me1_imputed_Kidney.bigWig
H3K4me1__imputed__Liver	H3K4me1	Liver	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Liver.bigWig	average_H3K4me1_imputed_Liver.bigWig
H3K4me1__imputed__Lung	H3K4me1	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Lung.bigWig	average_H3K4me1_imputed_Lung.bigWig
H3K4me1__imputed__Lymphoblastoid	H3K4me1	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Lymphoblastoid.bigWig	average_H3K4me1_imputed_Lymphoblastoid.bigWig
H3K4me1__imputed__Mesench	H3K4me1	Mesench	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Mesench.bigWig	average_H3K4me1_imputed_Mesench.bigWig
H3K4me1__imputed__iPSC	H3K4me1	iPSC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_iPSC.bigWig	average_H3K4me1_imputed_iPSC.bigWig
H3K4me2__imputed__BloodandT-cell	H3K4me2	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_BloodandT-cell.bigWig	average_H3K4me2_imputed_BloodandT-cell.bigWig
H3K4me2__imputed__Brain	H3K4me2	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Brain.bigWig	average_H3K4me2_imputed_Brain.bigWig
H3K4me2__imputed__Cancer	H3K4me2	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Cancer.bigWig	average_H3K4me2_imputed_Cancer.bigWig
H3K4me2__imputed__Digestive	H3K4me2	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Digestive.bigWig	average_H3K4me2_imputed_Digestive.bigWig
H3K4me2__imputed__ESC	H3K4me2	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_ESC.bigWig	average_H3K4me2_imputed_ESC.bigWig
H3K4me2__imputed__Endocrine	H3K4me2	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Endocrine.bigWig	average_H3K4me2_imputed_Endocrine.bigWig
H3K4me2__imputed__Endothelial	H3K4me2	Endothelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Endothelial.bigWig	average_H3K4me2_imputed_Endothelial.bigWig
H3K4me2__imputed__Epithelial	H3K4me2	Epithelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Epithelial.bigWig	average_H3K4me2_imputed_Epithelial.bigWig
H3K4me2__imputed__HSCandB-cell	H3K4me2	HSCandB-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_HSCandB-cell.bigWig	average_H3K4me2_imputed_HSCandB-cell.bigWig
H3K4me2__imputed__Heart	H3K4me2	Heart	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Heart.bigWig	average_H3K4me2_imputed_Heart.bigWig
H3K4me2__imputed__Kidney	H3K4me2	Kidney	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Kidney.bigWig	average_H3K4me2_imputed_Kidney.bigWig
H3K4me2__imputed__Liver	H3K4me2	Liver	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me2_imputed_Liver.bigWig	average_H3K4me2_imputed_Liver.bigWig
